Year,RK,Team,GP,BLK,PF,BLKPG,BLK/PF,,
2003,59,Pennsylvania,27,58,480,2.15,0.12,,
2003,60,Utah State,32,68,513,2.13,0.13,,
2003,61,UNC Wilmington,30,57,553,1.9,0.1,,
2003,62,Butler,30,55,484,1.83,0.11,,
2003,63,IUPUI,33,60,641,1.82,0.09,,
2003,64,Weber State,31,24,581,0.77,0.04,,
2002,1,UConn,30,214,541,7.13,0.4,,
2002,2,Maryland,30,188,536,6.27,0.35,,
2002,3,Miami,31,186,561,6,0.33,,
2002,4,Kansas,32,184,575,5.75,0.32,,
2002,5,Indiana,31,172,523,5.55,0.33,,
2002,6,McNeese,29,149,559,5.14,0.27,,
2002,7,Pepperdine,30,152,625,5.07,0.24,,
2002,8,Murray State,31,156,598,5.03,0.26,,
2002,9,Notre Dame,31,153,509,4.94,0.3,,
2002,10,Kentucky,29,140,524,4.83,0.27,,
2002,11,Southern Illinois,33,159,677,4.82,0.23,,
2002,12,Florida,30,138,559,4.6,0.25,,
2002,13,Pittsburgh,32,143,560,4.47,0.26,,
2002,14,Tulsa,32,141,533,4.41,0.26,,
2002,15,Xavier,30,132,475,4.4,0.28,,
2002,16,Missouri,32,140,596,4.38,0.23,,
2002,17,Cincinnati,33,142,594,4.3,0.24,,
2002,18,Stanford,28,120,545,4.29,0.22,,
2002,19,Texas Tech,31,132,485,4.26,0.27,,
2002,20,Wake Forest,32,136,622,4.25,0.22,,
2002,21,Siena,34,143,727,4.21,0.2,,
2002,22,Winthrop,30,126,588,4.2,0.21,,
2002,23,Valparaiso,32,131,544,4.09,0.24,,
2002,24,California,30,121,576,4.03,0.21,,
2002,25,Creighton,30,121,556,4.03,0.22,,
2002,26,Texas,31,125,611,4.03,0.2,,
2002,27,Wyoming,29,116,571,4,0.2,,
2002,28,USC,31,123,604,3.97,0.2,,
2002,29,Illinois,32,126,643,3.94,0.2,,
2002,30,Oklahoma,31,122,606,3.94,0.2,,
2002,31,St. John's,31,119,617,3.84,0.19,,
2002,32,San Diego State,32,122,673,3.81,0.18,,
2002,33,Montana,30,114,623,3.8,0.18,,
2002,34,Mississippi State,33,120,581,3.64,0.21,,
2002,35,Georgia,30,109,506,3.63,0.22,,
2002,36,Davidson,30,108,546,3.6,0.2,,
2002,37,Hampton,32,115,585,3.59,0.2,,
2002,38,Florida Atlantic,30,107,584,3.57,0.18,,
2002,39,Oklahoma State,31,108,555,3.48,0.19,,
2002,40,Gonzaga,32,111,539,3.47,0.21,,
2002,41,Hawai'i,32,110,583,3.44,0.19,,
2002,42,Pennsylvania,31,106,540,3.42,0.2,,
2002,43,Marquette,32,109,581,3.41,0.19,,
2002,44,Oregon,31,104,567,3.35,0.18,,
2002,45,Western Kentucky,31,102,584,3.29,0.17,,
2002,46,Boston College,31,102,639,3.29,0.16,,
2002,47,Central Connecticut,31,102,500,3.29,0.2,,
2002,48,Alabama,33,107,619,3.24,0.17,,
2002,49,UNC Wilmington,31,99,547,3.19,0.18,,
2002,50,Holy Cross,32,100,583,3.13,0.17,,
2002,51,Duke,32,98,600,3.06,0.16,,
2002,52,Michigan State,30,91,553,3.03,0.16,,
2002,53,Arizona,31,88,563,2.84,0.16,,
2002,54,Utah,29,81,543,2.79,0.15,,
2002,55,UC Santa Barbara,30,81,532,2.7,0.15,,
2002,56,UCLA,30,80,506,2.67,0.16,,
2002,57,Boston University,31,82,583,2.65,0.14,,
2002,58,Charlotte,29,70,525,2.41,0.13,,
2002,59,Ohio State,30,68,565,2.27,0.12,,
2002,60,NC State,32,71,608,2.22,0.12,,
2002,61,Kent State,32,65,607,2.03,0.11,,
2002,62,Ole Miss,30,56,594,1.87,0.09,,
2002,63,Wisconsin,30,56,500,1.87,0.11,,
2002,64,UIC,33,46,676,1.39,0.07,,
