Year,RK,Team,GP,OFF,ORPG,DEF,DRPG,REB,RPG
2003,41,Saint Joseph's,29,324,11.2,700,24.1,1024,35.3
2003,42,BYU,31,338,10.9,755,24.4,1093,35.3
2003,43,Austin Peay,30,331,11,724,24.1,1055,35.2
2003,44,Auburn,31,377,12.2,712,23,1089,35.1
2003,45,LSU,31,329,10.6,760,24.5,1089,35.1
2003,46,Florida,31,335,10.8,752,24.3,1087,35.1
2003,47,Utah State,32,401,12.5,721,22.5,1122,35.1
2003,48,Illinois,29,280,9.7,735,25.3,1015,35
2003,49,Michigan State,31,331,10.7,752,24.3,1083,34.9
2003,50,Manhattan,29,328,11.3,676,23.3,1004,34.6
2003,51,Milwaukee,31,356,11.5,713,23,1069,34.5
2003,52,Wagner,31,372,12,693,22.4,1065,34.4
2003,53,Creighton,33,359,10.9,765,23.2,1124,34.1
2003,54,Central Michigan,30,322,10.7,696,23.2,1018,33.9
2003,55,Purdue,28,291,10.4,657,23.5,948,33.9
2003,56,Pennsylvania,27,252,9.3,653,24.2,905,33.5
2003,57,Utah,31,312,10.1,723,23.3,1035,33.4
2003,58,Weber State,31,323,10.4,711,22.9,1034,33.4
2003,59,Southern Illinois,30,325,10.8,674,22.5,999,33.3
2003,60,UNC Wilmington,30,299,10,694,23.1,993,33.1
2003,61,IUPUI,33,389,11.8,698,21.2,1087,32.9
2003,62,Wisconsin,29,299,10.3,654,22.6,953,32.9
2003,63,NC State,29,280,9.7,636,21.9,916,31.6
2003,64,Butler,30,237,7.9,611,20.4,848,28.3
2002,1,Kansas,32,480,15,925,28.9,1405,43.9
2002,2,Stanford,28,415,14.8,759,27.1,1174,41.9
2002,3,Maryland,30,406,13.5,842,28.1,1248,41.6
2002,4,Gonzaga,32,403,12.6,925,28.9,1328,41.5
2002,5,UConn,30,419,14,821,27.4,1240,41.3
2002,6,Notre Dame,31,403,13,859,27.7,1262,40.7
2002,7,Kentucky,29,451,15.6,719,24.8,1170,40.3
2002,8,Wyoming,29,374,12.9,792,27.3,1166,40.2
2002,9,Oklahoma State,31,468,15.1,773,24.9,1241,40
2002,10,Oklahoma,31,471,15.2,770,24.8,1241,40
2002,11,Murray State,31,487,15.7,752,24.3,1239,40
2002,12,Texas,31,479,15.5,760,24.5,1239,40
2002,13,Cincinnati,33,429,13,872,26.4,1301,39.4
2002,14,Florida Atlantic,30,492,16.4,690,23,1182,39.4
2002,15,Central Connecticut,31,408,13.2,811,26.2,1219,39.3
2002,16,Mississippi State,33,437,13.2,860,26.1,1297,39.3
2002,17,Alabama,33,483,14.6,812,24.6,1295,39.2
2002,18,Southern Illinois,33,438,13.3,849,25.7,1287,39
2002,19,Florida,30,413,13.8,751,25,1164,38.8
2002,20,Wake Forest,32,418,13.1,821,25.7,1239,38.7
2002,21,Pittsburgh,32,419,13.1,820,25.6,1239,38.7
2002,22,Western Kentucky,31,393,12.7,802,25.9,1195,38.5
2002,23,Missouri,32,474,14.8,759,23.7,1233,38.5
2002,24,USC,31,441,14.2,753,24.3,1194,38.5
2002,25,Davidson,30,353,11.8,801,26.7,1154,38.5
2002,26,Texas Tech,31,396,12.8,792,25.5,1188,38.3
2002,27,Winthrop,30,392,13.1,757,25.2,1149,38.3
2002,28,Georgia,30,434,14.5,711,23.7,1145,38.2
2002,29,Charlotte,29,364,12.6,739,25.5,1103,38
2002,30,Pepperdine,30,394,13.1,744,24.8,1138,37.9
2002,31,McNeese,29,391,13.5,708,24.4,1099,37.9
2002,32,Siena,34,381,11.2,906,26.6,1287,37.9
2002,33,St. John's,31,487,15.7,686,22.1,1173,37.8
2002,34,Valparaiso,32,437,13.7,771,24.1,1208,37.8
2002,35,Arizona,31,391,12.6,778,25.1,1169,37.7
2002,36,Hampton,32,443,13.8,763,23.8,1206,37.7
2002,37,Michigan State,30,365,12.2,765,25.5,1130,37.7
2002,38,Kent State,32,428,13.4,776,24.3,1204,37.6
2002,39,Boston College,31,440,14.2,724,23.4,1164,37.5
2002,39,Boston University,31,376,12.1,786,25.4,1162,37.5
2002,41,Duke,32,390,12.2,804,25.1,1194,37.3
2002,42,San Diego State,32,388,12.1,805,25.2,1193,37.3
2002,43,Oregon,31,345,11.1,803,25.9,1148,37
2002,44,Xavier,30,367,12.2,743,24.8,1110,37
2002,45,Miami,31,371,12,764,24.6,1135,36.6
2002,46,Illinois,32,362,11.3,800,25,1162,36.3
2002,47,UCLA,30,346,11.5,737,24.6,1083,36.1
2002,48,Indiana,31,351,11.3,761,24.5,1112,35.9
2002,49,Holy Cross,32,405,12.7,741,23.2,1146,35.8
2002,50,Tulsa,32,343,10.7,799,25,1142,35.7
2002,51,Marquette,32,406,12.7,736,23,1142,35.7
2002,52,Creighton,30,348,11.6,712,23.7,1060,35.3
2002,53,UC Santa Barbara,30,291,9.7,760,25.3,1051,35
2002,54,UIC,33,410,12.4,734,22.2,1144,34.7
2002,55,UNC Wilmington,31,349,11.3,713,23,1062,34.3
2002,56,California,30,340,11.3,677,22.6,1017,33.9
2002,57,Montana,30,295,9.8,721,24,1016,33.9
2002,58,Hawai'i,32,329,10.3,739,23.1,1068,33.4
2002,59,Ole Miss,30,318,10.6,680,22.7,998,33.3
2002,60,NC State,32,333,10.4,731,22.8,1064,33.3
2002,61,Ohio State,30,328,10.9,662,22.1,990,33
2002,62,Wisconsin,30,309,10.3,662,22.1,971,32.4
2002,63,Pennsylvania,31,254,8.2,749,24.2,1003,32.4
2002,64,Utah,29,254,8.8,635,21.9,889,30.7
